,Links,Title,Details,Price,Rating
44,https://www.airbnb.co.in/rooms/37826912?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=4b3765c4-732a-49ff-ae8a-127d9c4890db,2 Bedrooms in Waikiki w/ your own Living Room!,"8 guests, 2 bedrooms, 4 beds, 2 bathrooms, Kitchen, Wifi, Pool, Air conditioning","₹49,402",5.0
45,https://www.airbnb.co.in/rooms/34749905?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=4b3765c4-732a-49ff-ae8a-127d9c4890db,"Shoreline Hotel Waikiki, One King Bed","2 guests, 1 bedroom, 1 bed, 1 shared bathroom, Pool","₹16,486",3.60
46,https://www.airbnb.co.in/rooms/19894363?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=4b3765c4-732a-49ff-ae8a-127d9c4890db,OCEAN VIEWS FROM BEAUTIFUL WAIKIKI APT,"3 guests, 1 bedroom, 2 beds, 1 bathroom, Kitchen, Wifi, Pool, Air conditioning","₹52,542",4.94
47,https://www.airbnb.co.in/rooms/39946323?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=4b3765c4-732a-49ff-ae8a-127d9c4890db,Drivable Van Rental | Sleep & Drive Deal!,"2 guests, 1 bedroom, 2 beds, 1 private bathroom, Kitchen, Wifi, Pool, Air conditioning","₹9,653",5.0
48,https://www.airbnb.co.in/rooms/39369906?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=4b3765c4-732a-49ff-ae8a-127d9c4890db,Jam with Jazmeen,"3 guests, Studio, 1 bed, 1 bathroom","₹13,210",4.33
49,https://www.airbnb.co.in/rooms/34749953?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=4b3765c4-732a-49ff-ae8a-127d9c4890db,"Shoreline Hotel Waikiki, Two Double Beds","4 guests, 1 bedroom, 2 beds, 1 bathroom, Pool","₹18,771",4.0
50,https://www.airbnb.co.in/rooms/6992917?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=4b3765c4-732a-49ff-ae8a-127d9c4890db,Stunning Estate w/ Ocean Views & Luxury Amenities,"16 guests, 4 bedrooms, 14 beds, 5.5 bathrooms, Kitchen, Wifi","₹2,54,130",4.95
51,https://www.airbnb.co.in/rooms/16094223?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=4b3765c4-732a-49ff-ae8a-127d9c4890db,WVR Royal Garden at Waikiki Studio,"2 guests, Studio, 1 bed, 1 bathroom, Kitchen, Wifi, Pool, Air conditioning","₹19,524",4.75
52,https://www.airbnb.co.in/rooms/33946650?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=7824cab7-3b3b-48f9-be39-5b526c1d81af,DESIGNER VILLA - PANORAMIC OCEAN VIEW,"16 guests, 6 bedrooms, 16 beds, 4 bathrooms, Kitchen, Wifi","₹1,18,873",4.90
53,https://www.airbnb.co.in/rooms/32215944?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=7824cab7-3b3b-48f9-be39-5b526c1d81af,Koolina Adjacent Beach House ocean views 300 sand,"6 guests, 3 bedrooms, 3 beds, 3 bathrooms, Kitchen, Wifi","₹52,321",4.81
54,https://www.airbnb.co.in/rooms/39946323?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=7824cab7-3b3b-48f9-be39-5b526c1d81af,Drivable Van Rental | Sleep & Drive Deal!,"2 guests, 1 bedroom, 2 beds, 1 private bathroom, Kitchen, Wifi, Pool, Air conditioning","₹9,653",5.0
55,https://www.airbnb.co.in/rooms/22370885?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=7824cab7-3b3b-48f9-be39-5b526c1d81af,AMAZING SPACE 2 MILES FROM WAIKIKI.,"16 guests, 5 bedrooms, 17 beds, 2 bathrooms, Kitchen, Wifi, Air conditioning","₹82,841",4.67
56,https://www.airbnb.co.in/rooms/6992917?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=7824cab7-3b3b-48f9-be39-5b526c1d81af,Stunning Estate w/ Ocean Views & Luxury Amenities,"16 guests, 4 bedrooms, 14 beds, 5.5 bathrooms, Kitchen, Wifi","₹2,54,130",4.95
57,https://www.airbnb.co.in/rooms/46196291?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=7824cab7-3b3b-48f9-be39-5b526c1d81af,1 Bedroom Condo * Wyndham Waikiki Beach Walk,"4 guests, 1 bedroom, 2 beds, 1 bathroom, Kitchen, Wifi, Pool, Air conditioning","₹29,403",5.0
58,https://www.airbnb.co.in/rooms/53988973?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=7824cab7-3b3b-48f9-be39-5b526c1d81af,Waikiki Beach Walk 2 Bedroom,"8 guests, 2 bedrooms, 4 beds, 2 bathrooms, Kitchen, Wifi, Pool, Air conditioning","₹61,611",4.50
59,https://www.airbnb.co.in/rooms/39820298?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=7824cab7-3b3b-48f9-be39-5b526c1d81af,Koolina adjacent 2bedroom 2 bathroom beach house,"4 guests, 2 bedrooms, 2 beds, 2 bathrooms, Kitchen, Wifi, Air conditioning","₹34,942",4.83
60,https://www.airbnb.co.in/rooms/49016337?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=7824cab7-3b3b-48f9-be39-5b526c1d81af,Sandy the camper van,"2 guests, 1 bedroom, 2 beds, 0 bathrooms, Kitchen","₹14,019",4.64
61,https://www.airbnb.co.in/rooms/18713955?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=7824cab7-3b3b-48f9-be39-5b526c1d81af,OceanView @ Surfer's Headquarter 3BR * 29+ night,"10 guests, 3 bedrooms, 5 beds, 1 bathroom, Kitchen, Wifi","₹70,066",4.86
62,https://www.airbnb.co.in/rooms/42570095?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=6cd36a9a-d9b0-4e19-aa6b-352bbc33ba7d,Camp around the island with Prius,"5 guests, Studio, Kitchen, Air conditioning","₹13,102",5.0
63,https://www.airbnb.co.in/rooms/555175849933931900?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=6cd36a9a-d9b0-4e19-aa6b-352bbc33ba7d,Koolinaadjacentbeachhouse3bdrm2bath300ftsandparkng,"6 guests, 3 bedrooms, 5 beds, 2 bathrooms","₹43,631",5.0
64,https://www.airbnb.co.in/rooms/39370436?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=6cd36a9a-d9b0-4e19-aa6b-352bbc33ba7d,Palm Trees & Penelope,"3 guests, Studio, 1 bed, 0 bathrooms, Kitchen, Air conditioning","₹13,210",3.33
65,https://www.airbnb.co.in/rooms/1346576?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=6cd36a9a-d9b0-4e19-aa6b-352bbc33ba7d,Honolulu Waikiki Marina Studio,"4 guests, Studio, 2 beds, 1 bathroom, Kitchen, Wifi, Pool, Air conditioning","₹22,290",4.40
66,https://www.airbnb.co.in/rooms/39370436?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=59e07a57-26d0-4753-997e-0d8e9eb7ec29,Palm Trees & Penelope,"3 guests, Studio, 1 bed, 0 bathrooms, Kitchen, Air conditioning","₹13,210",3.33
67,https://www.airbnb.co.in/rooms/40263663?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=59e07a57-26d0-4753-997e-0d8e9eb7ec29,Beach Camping with Beautiful Sunrise views!,"2 guests, 1 bedroom, 1 bed, 0 bathrooms","₹5,976",4.64
68,https://www.airbnb.co.in/rooms/40263663?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=433fb7ec-6cdd-4404-9d1c-d01a8b2b30cf,Beach Camping with Beautiful Sunrise views!,"2 guests, 1 bedroom, 1 bed, 0 bathrooms","₹5,976",4.64
69,https://www.airbnb.co.in/rooms/40657292?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=433fb7ec-6cdd-4404-9d1c-d01a8b2b30cf,Economy Oahu Camping W Rad Views!,"2 guests, 1 bedroom, 1 bed, 0 bathrooms","₹5,455",4.26
70,https://www.airbnb.co.in/rooms/30740304?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=433fb7ec-6cdd-4404-9d1c-d01a8b2b30cf,1 bedroom at Waikiki Beach Walk,"4 guests, 1 bedroom, 2 beds, 1 bathroom, Kitchen, Wifi, Pool, Air conditioning","₹28,218",3.0
71,https://www.airbnb.co.in/rooms/2571277?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=433fb7ec-6cdd-4404-9d1c-d01a8b2b30cf,Charismatic  Wooden Ship,"1 guest, 1 bedroom, 1 bed, 1 bathroom, Kitchen, Wifi","₹13,075",4.85
72,https://www.airbnb.co.in/rooms/40428616?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=fb622bdb-f647-4985-8d59-c9767e8d5e13,OAHU MINI-VAN RENTAL/ 2-4 Seats,"2 guests, 1 bedroom, 1 bed, 0 bathrooms, Air conditioning","₹6,324",4.65
